Identification,OnSaleIndicator,Name,BCAMarketingState.StateTenurePeriod,BCAMarketingState.LastMarketedDate,BCAMarketingState.MarketingState,BCAMarketingState.Identification,BCAMarketingState.StateTenureLength,BCAMarketingState.FirstMarketedDate,BCAMarketingState.FeaturesAndBenefits.MobileWallet.Type,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Type,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Identification,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Name,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Textual,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Indicator,BCAMarketingState.FeaturesAndBenefits.Card.Type,BCAMarketingState.FeaturesAndBenefits.Card.ContactlessIndicator,BCAMarketingState.FeaturesAndBenefits.Card.Scheme.0,BCAMarketingState.Eligibility.AgeEligibility.MinimumAge,BCAMarketingState.Eligibility.AgeEligibility.Notes.0,BCAMarketingState.OtherFeesCharges.FeeChargeCap.MinMaxType,BCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeCapAmount,BCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeType.0,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.ApplicationFrequency,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeType,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.CalculationFrequency,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeCategory,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeAmount,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.0,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.1,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.OtherFeeType.Description,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.OtherFeeType.FeeCategory,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.OtherFeeType.Name,BCAMarketingState.CoreProduct.ProductDescription,BCAMarketingState.CoreProduct.ProductURL,BCAMarketingState.CoreProduct.TcsAndCsURL,BCAMarketingState.CoreProduct.ServicingAccessChannels.0,BCAMarketingState.CoreProduct.ServicingAccessChannels.1,BCAMarketingState.CoreProduct.ServicingAccessChannels.2,BCAMarketingState.CoreProduct.ServicingAccessChannels.3,BCAMarketingState.CoreProduct.ServicingAccessChannels.4,BCAMarketingState.CoreProduct.ServicingAccessChannels.5,BCAMarketingState.CoreProduct.ServicingAccessChannels.6,BCAMarketingState.CoreProduct.SalesAccessChannels.0,BCAMarketingState.CoreProduct.SalesAccessChannels.1,BCAMarketingState.CoreProduct.SalesAccessChannels.2,BCAMarketingState.CoreProduct.SalesAccessChannels.3,BCAMarketingState.Notes.0,BCAMarketingState.Notes.1,BCAMarketingState.Notes.2,BCAMarketingState.PredecessorID,Segment.0,Segment.1,Segment.2,BCAMarketingState.OtherFeesCharges.FeeChargeCap.CappingPeriod
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126742","OverdraftAvailable",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126733","RegularTariffs","Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126743","DigitalServices","yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"Other","126744","DiscountBenefitsAccount","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126745","AccessToBankToYou",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126746","AccessToBankline",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126747","ChequeBookAvailable",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126748","CreditInterestRatePayable",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountOpeningOrSwitchingIncentive","126749","CurrentAccountSwitchService",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126750","DebitCard",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126751","DirectDebits",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126734","ElectronicPayments","BACS; Faster Payments; Domestic Payments; International Payments; CHAPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126752","GroupAccounts",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126753","InstantAccess",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126754","MobileBanking",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126755","MultipleAccountHolders",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126735","OverdraftStructures","Facility Fee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126736","PaymentClearingSystemSupported","BACS; CHAPS; International systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126756","QuickDepositsServiceAvailability",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126757","SetOffArrangement",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126758","StandingOrderAvailability",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126759","TextAlerts",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126760","TransfersAllowed",,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126761","AutoTransfers","yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,,,,,,"DebitCard",true,"Visa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible","Minimum","25.00","ReportAuditLetter",,,,,,,,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","CounterCashIn","Other","Transaction","0","Charge - Branch Cash Paid In","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","TransUKDirDeb","Monthly","Transaction","0","Charge - Direct Debit",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","TransManualEntries","Monthly","Transaction","0","Charge - Manual Credits",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","ATMDeposATMPaidIn","Other","Transaction","0","Charge - Cash Paid In - Cash and Deposit Machine","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","CounterCashOut","Other","Transaction","0","Charge - Branch Cash Paid Out","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","TransDebit","Other","Transaction","0","Charge - Cash Centre Cash Out","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","AutoAutoCredit","Monthly","Transaction","0","Charge - Automated Credits",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","FPSInBranch","Monthly","Transaction","0","Charge - Branch Faster Payment",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","TransTelBusiPriPaymentToNonGrpAcc","Monthly","Transaction","0","Charge - Telephone Transfer to non-RBSG Payee",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","TransStandingOrd","Monthly","Transaction","0","Charge - Standing Orders",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","CounterCashIn","Other","Transaction","0","Charge - Cash Centre Notes In","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","CounterCashDropLodgement","Other","Transaction","0","Charge - Cash (Coins) Paid In - Cash Centres","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","OnlineBankingPayment","Monthly","Transaction","0","Charge - Online/Digital Faster Payment",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","BACSItem","Monthly","Transaction","0","Charge - BACS Usage",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","ChqCounterLodgement","Other","Cheque","0","Charge - Cheques Paid In - Branches",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","ChqTrans","Monthly","Cheque","0","Charge - Cheques & Other Debits",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Other","CounterCashX","Other","Transaction","0","Charge - Branch Cash Exchange","per hundred pounds",,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","BACSOnLineFile","Other","Transaction","0","Charge - BACS Files",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","ChqIn","Monthly","Transaction","0","Charge - Cheques Paid in - Cash Centres",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"PerTransaction","TransDebit","Monthly","Transaction","0","Charge - Other Automated Debits",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month","9999-12-01","Promotional","8748",18.0,"2017-11-01",,,,,,,,,,18.0,"Customer must be at least 18 years of age in order to be eligible",,,,"Monthly","ServiceCAccountFee","Other","Servicing","0","Charge - Maintenance",,,,,"Current Account product providing access to UK payment services and channels to businesses which can be deployed across Business Banking, Commercial and legacy Corporate segments, the target market is all non personal customers.   NatWest Type 40 account","https://www.business.natwest.com/","https://www.business.natwest.com/eOBAOterms","ATM","Branch","CallCentre","MobileBankingApp","Online","PostOffice","RelationshipManager","Post","Online","CallCentre","RelationshipManager",,,,,,,,
